abv,barcode,beer,brewer,description,location,name,sku,style
6.50%,,Polochic,Craftsman Brewing Co,A light and dry with great interplay of citrus and exotic spice flavors,Pasadena,,,Lime Cardamom Saison
6.70%,,Sour Sumac,Craftsman Brewing Co,Sour wheat beer brewed with sumac and coriander,"Pasadena, CA",,,Sour Ale
4.80%,,Heavenly Hefe,Craftsman Brewing Co.,"Traditional, unfiltered with overtones of banana and clove","Pasadena, CA",,,Hefeweizen
8.40%,,Second Floor,Craftsman Brewing Co.,A complex barrel-aged brown ale 18 months in the making.,Pasadena,,,Sour Brown
10.00%,859681004209,Half Hitch,Crux Fermentation Project,"Mosaic single-hop DIPA with notes of mango, guava and grapefruit","Bend, Oregon",Crux Half Hitch 500ml,2202290,Double IPA
4.50%,859681004032,Off Leash,Crux Fermentation Project,"Light crisp Session IPA with Citra, Centennial and Crystal hops","Bend, Oregon",Crux Off Leash Btl,920669,Session IPA
8.00%,859681004063,Outcast,Crux Fermentation Project,Galaxy-hopped,"Bend, Oregon",Crux Outcast IPA (Galaxy),762013,Double IPA
19.00%,5703162007003,Viking Blod,Dansk Mjød,Nordic honey wine with hibiscus and hops added.,Denmark,Dansk Mjød Viking Blod,476844,Mead
7.50%,,Petrus 80/20,De Brabandere,A blend of 80% Petrus Aged Pale and 20% Petrus Aged Red for a tart and sweet sour.,Belgium,,,Sour Ale
12.00%,085221123608,Stille Nacht,De Dolle,"Thick, complex, sweet, with a strong honey note",Belgium,De Dolle Brouwers Stille Nacht 330ml,475762,Belgian Strong Ale
9.00%,085221123806,Oerbier,De Dolle Brouwers,"Notes of dark fruits, spices, candied sugar",Belgium,De Dolle Brouwers Oerbier 330ml,1679959,Belgian Strong Ale
2.30%,,Bu Weisse,De Garde,"Their version of a Berliner Weisse, but fermented with ambient yeast and bacteria. Tart with citrus and fruit notes, a subtle grain character, and a hint of funk.",Oregon,,,Berliner Weisse
7.50%,,Flanders Fred,De Proef / Hair of the Dog,A blend of a Flanders-sourced lambic with Hair of the Dog Fred,Belgium,,,Sour
8.50%,100000008522,Signature Ale,De Proef / Port Brewing,"Complex, fruity esters, spicy, medium-bodied",Belgium,De Proef Tomme Arthur Signature Ale,732669,Belgian Strong
10.00%,,Long of Tooth,De Proef / Surly Collaboration,"Notes of toffee, caramel, dried-fruit, cocoa, oaky-vanilla. Slight sour finish.",Belgium,,,Old Ale
6.75%,,Sour Barrel #1,De Proefbrouwerij ,"Fantastic sour with a deep, woodsy complexity from oak aging",Belgium,,,Flanders Red
6.60%,,Sour Barrel #2,De Proefbrouwerij ,"Notes of lemon, vinegar, sweet malts, peach, apricot, oak, and lactic funk",Belgium,,,Wild / Sour
8.90%,,Wekken Sour Stout,De Proefbrouwerij / Left Hand,Dark fruit tartness with roasted grains and a hint of cocoa poking through,Belgium,,,Sour / Stout Blend
13.00%,,Cuvée Delphine,De Struise,"Their Black Albert Danish Imperial stout, carefully matured on Four Roses bourbon barrels for 12 months",Belgium,,,Imperial Stout
13.00%,5425017810261,Black Albert,De Struise Brouwers,"Aroma of bitter-sweet chocolate, fresh coffee beans, barley, and complex fruits",Belgium,De Struise Black Albert 330ml,475953,Imperial Stout
10.00%,100000008614,Pannepot,De Struise Brouwers,"Aromas and flavors of dark malts, plums, raisins.",Belgium,De Struise Pannepot '11 Case,834702,Quadrupel 
7.40%,100000008706,Chasin Freshies,Deschutes Brewery,"Bright and juicy, the enchanting aroma of the freshest possible hops",Oregon,Deschutes Chasin Freshies,481609,Fresh Hop IPA
6.10%,763176110019,Hop Trip,Deschutes Brewery,Hints of bright citrus and juicy grapefruit,Oregon,Deschutes Hop Trip 12oz,481546,Fresh Hop Pale Ale 
6.50%,,Pinedrops,Deschutes Brewery,Crisp and light malt body with ample citrus and pine notes,Oregon,,,IPA
11.20%,763176290223,The Abyss,Deschutes Brewery,"Stout aged in bourbon, Oregon oak, and Pinot Noir barrels.",Oregon,Deschutes The Abyss 2016,834729,Imperial Stout
18.00%,,120 Minute IPA,DogFish Head,Malty and strong!,Delaware,,,TIPA
10.00%,638489001470,Beer Thousand,DogFish Head,Brewed for the  20th anniversary of the first Guided by Voices album,Delaware,Dogfish Beer Thousand,558494,Imperial Lager
9.00%,,Bitches Brew,DogFish Head,"Complex aromas of bitter chocolate, burnt caramel, tobacco, vanilla and toffee",Delaware,,,Imperial Stout
4.50%,638489001135,Festina Peche,DogFish Head,Face puckering sourness ending with some nice mellow peach flavor,Delaware,Dogfish Festina Peche/Punkin,478221,Berliner Weisse fermented with peaches
17.00%,638489001548,Higher Math,DogFish Head,20th Anniversary Beer fermented with cherries and aged on cocoa nibs,Delaware,Dogfish Head 20 Higher Math,1873416,American Strong Ale
15.00%,638489000534,Olde School,DogFish Head,"Aromas of caramel, big candied dark fruits, vanilla, boozy",Delaware,Dogfish Head Olde School 12oz,558495,Barleywine
16.40%,,World Wide Stout,DogFish Head,"Brewed with a ridiculous amount of barley. Dark, roasty and complex. This Ageable Ale clocks in at 15-20% ABV and has a depth in line with that of a fine port.",Delaware,,,Imperial Stout
5.50%,62067027802,Cidre Bouche,Domaine Familial Etienne Dupont,Apple with a touch of wood. Full body with a touch of sweetness,"Normandy, France",Dupont Cidre Bouche,476024,Cider
7.00%,,7 x 70 IPA,Drakes Brewing Co.,"Intense notes of grass, dank, citrus and a little mango and pineapple","San Leandro, CA",,,IPA
6.75%,854957002095,Aroma Coma,Drakes Brewing Co.,"Cascade, Chinook, CTZ & Citra hops contribute to citrus, pine, and floral notes","San Leandro, CA",Drakes Aroma Coma,476305,IPA
6.75%,100000009406,Aroma Prieta,Drakes Brewing Co.,"Huge aromas of tropical fruit, gooseberries, and grapefruit","San Leandro, CA",Drakes Aroma Prieta,1218182,IPA
9.30%,854957002507,Hopocalypse,Drakes Brewing Company,"Hop aromas of grapefruit, guava, and dank pine","San Leandro, CA",Drakes Hopocalypse Black Label,2137654,DIPA
6.00%,100000008997,Equinox,Eagle Rock Brewery,"A perfect balance of sweetness, tartness, and subtle hop bitterness. The refreshing aromas of citrus blend with the complex earthy flavor notes of oak, grass, muscat grapes, and starfruit.","Los Angeles, CA",Dieu du Ciel Equinoxe Case,834733,Sour Ale
9.00%,100000016886,Points Unknown,Ecliptic / Wicked Weed / Stone ,"Collab between Stone, Ecliptic (Portland, OR) and Asheville, North Carolina’s Wicked Weed",Escondido,Stone Points Unknown IPA,830251,Double IPA
8.60%,856650004147,Hammerland,El Segundo Brewing,Dank imperial IPA brewed with Simcoe and Mosaic hops,"El Segundo, CA",El Segundo Hammerland,659453,Double IPA
7.30%,856650004185,Ka-Pau!,El Segundo Brewing,Tropical IPA featuring Rakau hops,El Segundo,El Segundo Ka-Pau!,2320994,IPA
7.20%,856650004086,Mayberry,El Segundo Brewing,Mosaic hops take the center stage in this truly West Coast India Pale Ale.  Cascade and Chinook perform side stage.,"El Segundo, CA",El Segundo Mayberry IPA,476334,IPA
5.50%,,The Golden Kiwi,El Segundo Brewing,"Waimea, Motueka, and El Dorado combine for a big dry hop on this Pale","El Segundo, CA",,,Pale Ale
5.50%,856650004024,Citra Pale Ale,El Segundo Brewing Co.,Taste the glory that is the Citra hop,Los Angeles,El Segundo Citra Pale Ale,476329,Pale Ale
8.60%,856650004147,Hammerland,El Segundo Brewing Co.,Mosaic and Simcoe American IIPA ,Los Angeles,El Segundo Hammerland,659453,DIPA
9.50%,856650004079,Hop Tanker,El Segundo Brewing Co.,Hop notes of lemon peels filled in by orange marmalade and utter dankness,Los Angeles,El Segundo Hop Tanker 22oz,476333,DIPA
10.50%,856650004123,Power Plant,El Segundo Brewing Co.,"Lively citrus-pine hops, mellowy-resin hops, strong notes of tropical fruit.",Los Angeles,El Segundo Power Plant,834937,Triple IPA
6.40%,866648000181,American Hopped,Embark Craft Ciderworks,"Estate grown Autumn Crisp apples fermented and then dry-hopped with Cascade, Centennial & Columbus hops.  Balanced with just a touch of sweetness and subtle hop aromatics.",New York,Embark Craft American Hopped Cider,2364740,Cider
11.80%,856757002275,Big Bad Baptist,Epic Brewing Company,Whiskey barrel-aged stout with cocoa nibs and coffee beans,Utah,Epic Big Bad Baptist 22oz,478098,Imperial Stout
6.00%,,Natural Bridge Festbier,Eppig Brewing,"Clean and slightly malt forward. More body and flavor than a pilsner, less malty and sweet than a marzen.","San Diego, CA",,,Festbier
4.60%,,Zwickelbier,Eppig Brewing,"Dry hopped, unfiltered lager.  Light and flavorful, a perfect harmony of hops, malt, and yeast.","San Diego, CA",,,Kellerbier
12.00%,,Aún Más Todo Jesús,Evil Twin,"Brewed with coffee, cinnamon, peppers, and cocoa nibs",New York,,,Imperial Stout
11.50%,856467003562,Biscotti Break,Evil Twin,"Made with espresso, vanilla and toasted almonds",Denmark,Evil Twin BBA Imperial Biscotti Break,1780786,Imperial Stout
4.50%,13964718393,Citra Sunshine Slacker,Evil Twin,"Sharp citrus, grapefruit and resinous flavors",Denmark,Evil Twin Citra Sunshine Slacker,755238,Session IPA
12.00%,856467003333,Even More Jesus,Evil Twin,"Amazingly aromas of chocolate, coffee, dark fruits and muscovado sugar",New York,Evil Twin Even More Jesus,478821,Imperial Stout
6.00%,856467003517,Femme Fatale Yuzu,Evil Twin,"Tangy, funky, crisp, and tart ",Denmark,Evil Twin Femme Fatale Yuzu Bottle,478826,100% Brett IPA w/ Yuzu
12.00%,91037693877,I Love You With My Stout,Evil Twin,"Big rich chocolate, molasses, roasted coffee, vanilla",Denmark,Evil Twin I Love You With My Stout,478633,Imperial Stout
11.50%,,Imperial Biscotti Break Natale,Evil Twin,Imperial Biscotti Break with sour cherries added,Denmark,,,Imperial Stout
11.50%,,Imperial Doughnut Break,Evil Twin,"Chocolate, espresso, brown sugar",Denmark,,,Stout
4.50%,856467003470,Justin Blåbær,Evil Twin,Berliner Weisse brewed with blueberries,New York,Evil Twin Justin Blåbær,478825,Berliner Weisse
4.00%,,Ryan And The Gosling,Evil Twin,American pale ale brewed with citrus peel and juices,New York,,,All Brett Pale Ale
3.00%,856467003791,Sour Bikini,Evil Twin," Sour and hoppy with notes of lemon, apricot, honewdew, peach.",Denmark,Evil Twin Sour Bikini,478836,Sour Pale
4.00%,856467003906,Mission Gose,Evil Twin / Westbrook Brewing,"Cloudy pale gold, fruity aromas, notes of pine with a tart finish",Brewed at Westbrook (South Carolina),Evil Twin Mission Gose 22 oz,1314870,Gose with Eucalyptus
6.50%,,Anomaly White Chocolate Stout,Faction,"Creamy, malty, subtle vanilla","Alameda, CA",,,Nitro Stout
5.80%,,2-Hop,Faction Brewing,Hopped with Polaris and Amarillo,"Alameda, CA",,,Pale Ale
5.20%,,Flagship Pale Ale,Faction Brewing,"Loaded with Simcoe, Mosaic and CTZ hops","Alameda, CA",,,Pale Ale
8.50%,,Hop Soup,Faction Brewing,a mix of bright pineapple and stone fruit with a touch of resinous pine,"Alameda, CA",,,DIPA
6.80%,,Something Different IPA,Faction Brewing,"Hopped with Centennial, Citra and Experimental 07270","Alameda, CA",,,IPA
6.40%,100000062333,Summer IPA,Faction Brewing,"Seasonal IPA hopped with Citra, Austrailian Galaxy and Summer","Alameda, CA",6 - Summer IPA 16oz,,IPA
6.00%,852072004031,Vapor,Faction Brewing,"Copper w/ beige head, light toffee aroma, hearty mixed malt flavor, dry finish","Alameda, CA",Double Mountain Vaporizer,481577,California Common
7.40%,859416003019,Winter IPA,Faction Brewing,Aggressively hopped IPA with whole leaf simcoe and hints of citra,"San Leandro, CA",Gigantic High Voltage Winter IPA 22oz,481592,IPA
5.00%,,Bricoleur Batch #2,Fair State Brewing Cooperative,"Mixed culture, stainless fermented Pilsner-inspired goodness",Minnesota,,,American Wild Ale
5.10%,748252024404,Pils,Fair State Brewing Cooperative,"Dry, crisp, with a grassy hop aroma from a large kettle addition of Hallertau Mittelfrüh hops.",Minnesota,Almanac Craft Pils CAN,2785365,German Pilsner
4.80%,,Pomp Fake,Fair State Brewing Cooperative,"Grisette was traditionally the beer of miners.  Low alcohol, assertively hopped, and brewed with wheat.  Fermented sans temperature control with Saison yeast, and American hops",Minnesota,,,Saison / Grisette
4.80%,859612001116,Session IPA,Fair State Brewing Cooperative,"Brewed with simcoe, el dorado, mosaic, and citra hops",Minnesota,21st Amendment Down to Earth Session IPA can 6pk,851182,Session IPA
5.50%,,A Beer Named Sue,Fall Brewing,California Common-Style Amber Lager,San Diego,,,California Common
7.20%,865721000131,Green Hat,Fall Brewing,"Hopped With Citra, Centennial, Crystal & Simcoe Hops",San Diego,Fall Green Hat,,IPA
7.20%,865721000131,Green Hat,Fall Brewing,"Hopped With Citra, Centennial, Crystal & Simcoe Hops",San Diego,Fall Green Hat,,IPA
3.50%,,Interpretive Dance Squad,Fall Brewing,"A super hoppy little beast with Chinook, Belma, Simcoe, Mosaic, & Nelson",San Diego,,,Session IPA
4.40%,,Jazz Hands,Fall Brewing,"Light, tart, and very refreshing.",San Diego,,,Berliner Weisse
5.50%,,Magical and Delicious,Fall Brewing,"The magical aromatics from layered hop varietals create a balanced, tropical pale ale, with a smooth and delicious body, perfectly balanced for the San Diego summer.",San Diego,,,Pale Ale
4.60%,,2am Bike Ride,Fall Brewing,Stout infused with 100lbs of Dark Horse coffee and fresh vanilla beans,San Diego,,,American Stout
4.90%,865721000100,Plenty For All,Fall Brewing,"Pilsner Brewed in the California Common Style. Crisp, clean, rustic",San Diego,Fall Plenty for All,,Pilsner
5.20%,100000009857,Rise Above,Fall Brewing,"Crisp, Clean & Refreshing. Saaz Hop Character",San Diego,Fall Rise Above,657496,Czech Pilsner
4.70%,,Speedo's Tiki Love God,Fall Brewing,Smooth and roasty with slight vanilla notes,San Diego,,,English Brown Ale
7.10%,,Weekend Pirate #1,Fall Brewing,"An unfiltered IPA with Citra, Amarillo, Mandarina Bavaria, and Calypso Hops. ","San Diego, CA",,,IPA
6.00%,851902003022,Davy Brown,Figueroa Mountain Brewing,GABF gold medal winner,"Buellton, California ",Figueroa Davy Brown,476277,Brown
13.00%,,Anniversary XVIII,Firestone Walker,"38% Parabola, 16% Bourbon & Brandy BA Helldorado, 16% Bourbon & Brandy BA Bravo, 14% Bourbon & Brandy BA Stickee Monkee, 5% Velvet Merkin, 4% Hydra Cuvee, 3% Wookey Jack, 2% Ol' Leghorn aged in new American oak, 2% Double Jack",Paso Robles,,,American Strong Ale
4.50%,602755007046,Easy Jack,Firestone Walker,"Brewed with hop varieties from Germany, New Zealand and North America ","Paso Robles, CA",Firestone Easy Jack 6 pk,835019,Session IPA
5.90%,,Luponic Distortion No. 003,Firestone Walker,"Mandarin orange and ripe peach character with ample supporting notes of citrus, stone fruit and pineapple. The overall profile is round and juicy, leaning heavily on ripe fruits with minimal dank or piney edges.","Paso Robles, CA",,,IPA
5.00%,602755007152,Oaktoberfest,Firestone Walker,Traditional imported malts offer subtle honey-like aromas with hints of Noble hop spice. Imported Pilsner and Vienna malts that offer malty sweetness that carry through to the end.  German Hallertau hops add rich Noble hop character to balance this exceptional Marzen.,"Paso Robles, CA",Firestone Oaktoberfest 16oz,476076,Oktoberfest/Märzen
5.00%,602755007152,Oaktoberfest,Firestone Walker,Traditional imported malts offer subtle honey-like aromas with hints of Noble hop spice. Imported Pilsner and Vienna malts that offer malty sweetness that carry through to the end.  German Hallertau hops add rich Noble hop character to balance this exceptional Marzen.,"Paso Robles, CA",Firestone Oaktoberfest 16oz,476076,Oktoberfest/Märzen
5.20%,602755006568,Pivo Pils,Firestone Walker,"A classically rendered pilsner with a West Coast dry-­‐hopping twist, impeccable balance with ﬂoral aromatics, spicy herbal nuances, and bergamot zest and lemongrass notes from dry hopping with German Saphir hops.
 ","Paso Robles, CA",Firestone Pivo Pils 6pk Cans,835023,German Pilsner
11.80%,602755001679,Helldorado,Firestone Walker ,"The bready, honeyed flavors of pale malts pull out rich wildflower honey, vanilla and coconut notes from the oak, creating an overall flavor evocative of bourbon-glazed graham crackers ","Paso Robles, CA",Firestone Walker HellDorado 2015,1097718,Blonde Barleywine
6.30%,,Stivo Pils,Firestone Walker / Russian River,"A  mashup of their respective craft pilsners, STS and Pivo. Brewed with Pivo's German Saphir hops and STS’s Alsatian Aramis and unfiltered in the Keller style","Paso Robles, CA",,,Kellerbier
5.30%,602755001631,Bretta Rosé,Firestone Walker Barrelworks,"Bretta Weisse, fermented and matured in oak puncheons, with an abundance of fresh raspberries added.","Buellton, CA",Firestone Walker Bretta Rosé,2472970,American Wild Ale
4.90%,,Bretta Weisse,Firestone Walker Barrelworks,"Firm estery notes of stone and tropical fruit lead to Funky, yeasty, citrus aromas.  Soft cereal and Oak flavors are enveloped by a firm acidity and tartness.","Buellton, CA",,,Berliner Weisse
6.60%,602755001723,Agrestic,Firestone Walker Brewing Co.,"Toasted oak and lemon pith on the nose and palate, finish is crisp and tart",Paso Robles,Firestone Agrestic 375ml,,Sour Red
9.50%,602755006605,Double Jack,Firestone Walker Brewing Co.,"Opens up with bright grapefruit and tangerine American hop aromas, courtesy of liberal dry hopping with Amarillo, Cascade, Centennial and Simcoe. Undertones of stone fruit are revealed upon ﬁrst sip, followed by the essence of blue basil and pine","Paso Robles, CA",Firestone Double Jack 12oz,476093,Double IPA
7.50%,602755005035,Opal,Firestone Walker Brewing Co.,Refreshing with notes of lemon and spice finishing with subtle hop assertiveness,Paso Robles,Firestone Opal 22oz,476087,Dry Hopped Saison
8.50%,602755001488,Velvet Merkin,Firestone Walker Brewing Co.,"Chocolate, espresso and vanilla-bourbon aromas",Paso Robles,Firestone Walker Velvet Merkin 2016,1376183,Oatmeal Stout
8.30%,602755001457,Wookey Jack,Firestone Walker Brewing Co.,2012 GABF gold medal winner. Roasty flavors with hop bitterness,Paso Robles,Firestone Wookey Jack,476080,Black Rye IPA
6.50%,,6AM Stout,Flat Tail Brewing,Rich and roasty with a caffeine kick,"Corvallis, Oregon",,,Milk Stout
7.00%,,Big Fin,Flat Tail Brewing,"Silky smooth malt bomb with hints of licorice, dark fruit & brown sugar","Corvallis, Oregon",,,Baltic Porter
7.50%,,Cyanide & Hoppiness,Flat Tail Brewing,"A collaboration brew to honor the Cyanide and Happiness comic crew for Comic-Con 2015. It's an Apricot IPA... cyanide, not actually included!","Corvallis, Oregon",,,Apricot IPA
5.00%,,El Guapo,Flat Tail Brewing,"Smells of light pepper, sweet malt, light cucumber","Corvallis, Oregon",,,"Cucumber, Lime, Habanero Blonde"
3.50%,,Little Wolf,Flat Tail Brewing,"Light body, sour, thirst quenching","Corvallis, Oregon",,,Sorachi Ace Dry Hopped Session Sour
5.50%,,Flying Dog Pale Ale,Flying Dog Brewery,"Notes of grainy malt, grapefruit and apricot. ",Maryland,,,Pale Ale
9.50%,642860300502,reDANKulous,Founders Brewing Co,"Chinook, Mosaic and Simcoe hops hit you right away with their dank aroma, and they stick around.  Burnt amber with some sweetness due to the Caramalt and roasted barley",Michigan,Founders Imperial Stout/reDANKulous/Old Curmudgeon/Sumatra Mountain,1891483,Imperial Red IPA
9.00%,,Sumatra Mountain Brown,Founders Brewing Co,"The body comes from a team of malts including Caramel, flaked barley, a bit of Chocolate malt, and Aromatic and Munich malts to add even more depth. Perle hops add a touch of bitterness to balance the malty sweetness. The addition of rich Sumatra coffee takes this perfectly balanced imperial brown ale to a decadent level.",Michigan,,,Imperial Brown
4.70%,642860300243,All Day IPA,Founders Brewing Company ,"Brewed w/ a complex array of malts, grains & hops. Balanced for optimal aromatics & clean finish",Michigan,Founders All Day IPA 12oz btl,1805270,Session IPA
11.60%,642860300373,Backwoods Bastard,Founders Brewing Company ,"Warm smells of single malt scotch, oaky bourbon barrels, smoke, sweet caramel and roasted malts",Michigan,Founders Backwoods Bastard 12oz,1804345,BBA Scotch Ale
8.30%,642860200505,Breakfast Stout,Founders Brewing Company ,"The coffee lover’s consummate beer. Brewed with an abundance of flaked oats, bitter and imported chocolates, and two types of coffee",Michigan,Founders Breakfast Stout 12oz,1842981,Imperial Coffee Stout
8.50%,642860300076,Dirty Bastard,Founders Brewing Company ,"Brewed with seven varieties of imported malts. Complex in finish, with hints of smoke and peat",Michigan,Founders Dirty Bastard 12oz btl,1805227,Scotch Ale
11.20%,,Kentucky Breakfast Stout,Founders Brewing Company ,"Brewed with a massive amount of coffee and chocolates, then aged in oak bourbon barrels for an entire year",Michigan,,,BBA Imperial Stout
5.50%,642860300250,Mosaic Promise,Founders Brewing Company ,Showcases a single malt—Golden Promise—and a single hop—Mosaic,Michigan,Founders PC Pils/Mosaic Promise 12oz,1873368,IPA
5.50%,642860300250,Mosaic Promise,Founders Brewing Company ,Showcases a single malt—Golden Promise—and a single hop—Mosaic,Michigan,Founders PC Pils/Mosaic Promise 12oz,1873368,IPA
4.50%,5060172030026,Oatmeal Stout,Founders Brewing Company ,"A Founders take on a classic style, brewed with a generous amount of flaked oats, chocolate malt, roasted barley and Nugget hops",Michigan,Coniston Oatmeal Stout,481688,Oatmeal Stout
6.00%,818534010132,Abraxxxas,Freigeist,"Light wheat, light smoke, hint of sourness",Germany,Freigeist Abraxxxas,478312,Smoked Lichtenhainer 
5.20%,818534012105,Geisterzug Gose,Freigeist,"""Ghost Train"" spruced Gose - complex and funky",Germany,Freigeist Geisterzug Gose,478314,Gose
5.50%,856520006097,Mango Hefeweizen,Garage Brewing Company,Vibrant mango flavors & lively carbonation reults in a tasty and refreshing brew,Temecula,Garage Mango Hefeweizen 22oz,771205,Hefeweizen
7.10%,,Marshmallow Milk Stout,Garage Brewing Company,"Notes of dark roasted malt, chocolate syrup, vanilla bean, and marshmallows!",Temecula,,,Milk Stout
8.00%,9421903026064,Pernicious Weed,Garage Project,a celebration of the NZ-developed hop varieties Nelson Sauvin and Rakau,New Zealand,Garage Project Pernicious Weed 22oz,2392263,IPA
7.30%,859416003002,Gigantic IPA,Gigantic Brewing Co.,"Floral, piney, citrusy",Oregon,Gigantic IPA,481591,IPA
7.30%,859416003002,Gigantic IPA,Gigantic Brewing Company,"Hopped with Cascade, Centennial, Crystal and Simcoe ","Portland, Oregon,",Gigantic IPA,481591,IPA
8.80%,859416003040,Ginormous,Gigantic Brewing Company,"Notes of pine, citrus hops, melon and grass","Portland, Oregon,",Gigantic Ginormous IPA,558539,Double IPA
6.00%,100000007761,Peace Loving Decoy,Gigantic Brewing Company,"Toasty Vienna malt aroma and citrusy, fruity and floral hops","Portland, Oregon,",Gigantic Peace Loving Decoy,561682,Vienna Lager 
8.00%,100000007136,Saboteur,Gigantic Brewing Company,"Flavors of chocolate, coffee, malt sweetness and hints of smoke","Portland, Oregon,",Gigantic Brewing Saboteur,561681,Baltic Porter
12.00%,029882559109,Savage Bois,Golden Coast Mead,"Dry, full-bodied, balanced, rich mead",Oceanside,Golden Coast Savage Bois 500ml,476842,Mead
12.00%,690926001221,Speakeasy,Golden Coast Mead,Mead with notes of oak and toasty caramel. Reminiscent of bourbon.,Oceanside,Speakeasy BA Scarface,835798,Mead
6.90%,856247005007,Mighty Dry,Golden State Cider,Crafted with a delicious blend of culinary apple varieties. No added water. No added sugar. No concentrates. No gluten. No bad juju.,"Sebastopol, CA",Golden State Mighty Dry Cider 16oz can,2658931,Cider
12.40%,,Barrel-Aged Hibernation (2014),Great Divide,"Over a year in whiskey barrels.  Big whiskey flavors mellow out into luscious chocolate, dark fruit, and vanilla.",Colorado,,,Old Ale
12.50%,,Barrel-Aged Yeti (2015),Great Divide,"Over a year in whiskey barrels.   The spirited aging process produces a hugely complex but mellowed Yeti, with its signature roasted flavors, hints of vanilla and oak, and a whiskeyed finish.",Colorado,,,Imperial Stout
9.50%,790586000258,Chocolate Oak Aged Yeti ,Great Divide,Notes of espresso and dark chocolate ,Colorado,Great Divide Chocolate Oak Aged Yeti 22oz,477443,Imperial Stout
9.50%,,Chocolate Oak-Aged Yeti,Great Divide,"Cocoa nibs contribute some pleasing bitterness, while vanilla notes from the oak combine with the cocoa to create an aroma and flavor akin to a gourmet chocolate bar. A dash of cayenne keeps things lively, adding just a bit of heat to the finish",Colorado,,,Imperial Stout
7.70%,790586012244,Claymore,Great Divide,"Malty, with generous amount of caramel sweetness",Colorado,Great Divide Claymore,477455,Scotch Ale
7.30%,790586012275,Colette,Great Divide,"Brewed with barley, wheat and rice and fermented at high temperatures with a special blend of four different yeast strains it is fruity and slightly tart, with a dry finish",Colorado,Great Divide Colette 12oz,477456,Saison
6.20%,790586090129,Hoss,Great Divide,"Rich, layered malt notes, with hints of cherry and dark fruits, dominate, while the unique addition of rye imparts a slightly earthy, spicy character. Hoss finishes crisp and dry.",Colorado,Great Divide Hibernation/Hoss CAN,,Oktoberfest/Märzen
6.30%,790586012176,Nadia Kali,Great Divide,"A generous infusion of hibiscus and ginger root gives it a subtle spice and hint of woodsy maturity, and lemon peel adds a citrus tartness to keep you on your toes",Colorado,Great Divide Nadia Kali 12oz,,Saison
8.30%,100000010433,Orabelle,Great Divide,Belgian style Tripel with orange peel and corriander,Colorado,Great Divide Orabelle,835110,Tripel
12.00%,790586000456,Peach Grand Cru,Great Divide,"Notes of caramel, stone fruit, and syrup",Colorado,Great Divide Peach Grand Cru,477450,Belgian Strong Dark Ale
7.10%,790586012145,Titan,Great Divide,"Piney up front, with a nice citrus flavor, and a good malt backbone",Colorado,Great Divide Titan,477453,IPA
7.30%,790586012275,Colette,Great Divide Brewing Co.,"Fruity and slightly tart, with a dry finish ",Colorado,Great Divide Colette 12oz,477456,Saison
6.20%,,21st Anniversary Sour,Great Divide Brewing Company,"Bright, tart, kiwi & citrus notes; hint of oak & subtle white wine-like character",Colorado,,,Wild Ale
4.50%,,Short Stack,Green Flash,"Brewed with buckwheat, oats, maple-smoked malt to emulate pancakes and cold brewed coffee to round out the breakfast experience. ","San Diego, CA",,,American Stout
10.10%,830746001425,Silva Stout,Green Flash,"A viscous bourbon barrel-aged stout wuith notes of sweet bourbon, coffee, and chocolate","San Diego, CA",Green Flash Silva Stout,481250,Barrel-Aged Imperial Stout
5.90%,,12th Anniversary Ale,Green Flash Brewing Co.,Dry-hopped American Sour Pale,San Diego,,,Sour
4.50%,,Hop Odyssey Mosaic,Green Flash Brewing Co.,"100% Mosaic hops, earthy notes, tropical fruit and dark berries",San Diego,,,Session IPA
7.70%,,Jolly Folly,Green Flash Brewing Co.,Resinous and piney aromas with layers of citrus and tropical hop flavors,San Diego,,,IPA
5.70%,830746000466,Treasure Chest,Green Flash Brewing Co.,"Brewed w/ grapefruit, prickly pear juice & hibiscus flowers & 100% Mosaic hops ",San Diego,Green Flash Treasure Chest 22 oz,1354893,IPA 
5.00%,784672274937,Rainbow Dome,Grimm Artisanal Ales,"Dry Hopped, Oaked Wild / Sour brewed with Apricots",New York,Grimm Rainbow Dome,1467264,Oaked Wild
5.00%,646437576734,Subliminal Message,Grimm Artisanal Ales,Sour red ale brewed with tart cherries,New York,Grimm Subliminal Message,2218741,Sour
4.80%,784672274944,Super Symmetry,Grimm Artisanal Ales,"Dry Hopped, Oaked Gose with Lemon Zest",New York,Grimm Super Symmetry Bottle,1467267,Gose
5.20%,784672274869,Telekinesis,Grimm Artisanal Ales,"Hoppy & tart. Mosaic, Citra, & Falconer’s Flight lend a tropical hop character",New York,Grimm Telekinesis 22oz,,Sour Farmhouse
5.20%,,Piloncillo Brown,Groundswell,"Brewed w/ Mexican Piloncillo Sugar, malt forward w/ strong notes of Caramel, Brown Sugar, Molasses, Chocolate & Toffee",San Diego,,,American Brown Ale
5.40%,,Tropical Hefe,Groundswell,"This hybrid Hefe is dry hopped with New Zealand and Australian hops, but only to impart aroma and flavor with out bitterness. The use of those hops give this Hefe notes of pineapple, mango, passion fruit, peach and apricot","San Diego, CA",,,American Pale Wheat
6.40%,,Oude Gueuze Tilquin à L'Ancienne,Gueuzerie Tilquin,"Spontaneous fermentation beer, produced from the blending of 1, 2 and 3 year old lambics",Belgium,,,Gueuze
